Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Bed Type;Security Deposit;Cleaning Fee;Guests Included;Extra People;Cancellation Policy;Price;Amenities Count;Security Deposit Mandatory
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;0.0;0.0;1;0;1;29.0;3;0
Universidad;Centro;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;0.0;0.0;4;5;1;98.0;12;0
Justicia;Centro;Apartment;Private room;1;1.5;1.0;Real Bed;0.0;0.0;1;0;2;38.0;18;0
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;120.0;25.0;1;0;2;69.0;16;1
Sol;Centro;Apartment;Private room;3;1.0;1.0;Real Bed;0.0;8.0;1;20;2;40.0;13;0
Recoletos;Salamanca;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;100.0;15.0;1;0;1;80.0;22;1
Palacio;Centro;Apartment;Entire home/apt;5;1.0;2.0;Real Bed;200.0;30.0;2;15;1;60.0;9;1
Aluche;Latina;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;0.0;1;0;0;60.0;9;0
Castellana;Salamanca;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;200.0;29.0;2;10;0;69.0;17;1
Universidad;Centro;House;Private room;1;1.0;1.0;Real Bed;0.0;5.0;1;0;1;26.0;4;0
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;100.0;37.0;1;0;2;29.0;8;1
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;3;1.0;2.0;Real Bed;150.0;50.0;2;0;2;36.0;6;1
Trafalgar;Chamberí;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;14.0;1;0;0;60.0;12;0
Universidad;Centro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;5.0;1;25;0;30.0;15;0
Trafalgar;Chamberí;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;200.0;50.0;2;10;2;120.0;16;1
Prosperidad;Chamartín;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;6;1;34.0;18;0
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;0.0;1;0;0;55.0;18;0
Palacio;Centro;Apartment;Entire home/apt;8;2.5;3.0;Real Bed;0.0;0.0;6;10;0;260.0;21;0
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;300.0;75.0;1;0;2;74.0;11;1
Adelfas;Retiro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;19.0;1;0;1;45.0;10;0
Almagro;Chamberí;Loft;Entire home/apt;4;1.0;0.0;Real Bed;0.0;20.0;2;15;2;75.0;9;0
Cuatro Caminos;Tetuán;Apartment;Private room;1;2.0;1.0;Real Bed;0.0;0.0;1;0;0;19.0;10;0
Universidad;Centro;Condominium;Entire home/apt;4;1.5;1.0;Real Bed;250.0;30.0;4;25;2;90.0;27;1
Palacio;Centro;House;Private room;2;1.0;1.0;Real Bed;90.0;0.0;1;20;1;28.0;11;1
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;150.0;30.0;2;10;2;70.0;20;1
Santa Eugenia;Villa de Vallecas;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;0.0;10.0;1;0;1;59.0;19;0
Palacio;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;150.0;35.0;2;10;2;55.0;20;1
Vallehermoso;Chamberí;Apartment;Entire home/apt;2;1.0;2.0;Pull-out Sofa;0.0;0.0;1;0;0;35.0;12;0
Cuatro Caminos;Tetuán;Apartment;Private room;2;1.0;1.0;Real Bed;100.0;8.0;1;0;1;30.0;8;1
Delicias;Arganzuela;Apartment;Private room;3;1.0;1.0;Real Bed;0.0;5.0;2;10;2;38.0;15;0
Justicia;Centro;Apartment;Entire home/apt;6;2.0;2.0;Real Bed;0.0;0.0;1;0;0;130.0;14;0
Palos de Moguer;Arganzuela;Condominium;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;2;24.0;11;0
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;30.0;5;20;2;119.0;26;1
Argüelles;Moncloa - Aravaca;House;Private room;1;2.0;1.0;Real Bed;100.0;45.0;2;0;1;24.0;15;1
Gaztambide;Chamberí;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;500.0;50.0;1;0;2;85.0;13;1
Vista Alegre;Carabanchel;Apartment;Entire home/apt;3;1.0;2.0;Real Bed;200.0;5.0;1;5;0;45.0;7;1
Sol;Centro;Condominium;Entire home/apt;2;1.0;0.0;Real Bed;300.0;60.0;1;0;2;70.0;7;1
Sol;Centro;Apartment;Private room;3;1.0;1.0;Real Bed;0.0;0.0;1;0;0;55.0;10;0
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;30.0;1;0;2;40.0;8;0
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;150.0;49.0;2;15;2;80.0;15;1
Trafalgar;Chamberí;Loft;Entire home/apt;4;1.0;2.0;Futon;0.0;0.0;1;0;0;90.0;17;0
Nueva España;Chamartín;Apartment;Entire home/apt;3;2.0;2.0;Real Bed;200.0;50.0;1;0;1;150.0;16;1
Vinateros;Moratalaz;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;25.0;1;0;2;65.0;22;0
Prosperidad;Chamartín;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;15.0;1;10;1;25.0;13;0
Sol;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;15.0;1;0;2;58.0;8;0
Rios Rosas;Chamberí;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;10.0;1;0;2;50.0;14;0
Trafalgar;Chamberí;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;10;0;35.0;13;0
Embajadores;Centro;Apartment;Entire home/apt;7;1.0;2.0;Real Bed;150.0;25.0;2;20;2;55.0;13;1
Sol;Centro;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;150.0;40.0;6;30;2;125.0;14;1
Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;30.0;2;15;1;60.0;17;1
Acacias;Arganzuela;Other;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;35.0;13;0
San Juan Bautista;Ciudad Lineal;Apartment;Entire home/apt;5;1.0;1.0;Real Bed;0.0;20.0;2;5;2;48.0;17;0
Ventas;Ciudad Lineal;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;10.0;1;0;0;49.0;10;0
Adelfas;Retiro;Apartment;Private room;2;2.0;1.0;Real Bed;300.0;12.0;1;0;1;42.0;20;1
Universidad;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;100.0;10.0;1;8;0;20.0;14;1
Sol;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;100.0;45.0;2;10;2;100.0;18;1
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;30.0;2;15;2;50.0;12;1
Justicia;Centro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;5.0;1;0;2;42.0;15;0
Cortes;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;15.0;1;0;2;38.0;13;0
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;10.0;1;0;1;95.0;8;0
Embajadores;Centro;Apartment;Entire home/apt;12;2.0;3.0;Real Bed;200.0;40.0;8;20;2;219.0;19;1
Atocha;Arganzuela;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;10.0;1;30;0;30.0;12;0
Prosperidad;Chamartín;House;Private room;2;2.0;1.0;Real Bed;0.0;0.0;1;0;0;35.0;16;0
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;100.0;0.0;1;0;0;60.0;8;1
