Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Bed Type;Security Deposit;Cleaning Fee;Guests Included;Extra People;Cancellation Policy;Price;Amenities Count;Security Deposit Mandatory
Palos de Moguer;Arganzuela;House;Entire home/apt;11;2.0;4.0;Real Bed;150.0;50.0;5;15;1;95.0;21;1
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;20.0;2;5;1;50.0;13;1
Jerónimos;Retiro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;27.0;18;0
Ibiza;Retiro;Apartment;Entire home/apt;7;2.0;3.0;Real Bed;300.0;70.0;2;20;2;179.0;21;1
Campamento;Latina;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;12;2;15.0;16;0
Palacio;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;13;0;26.0;12;0
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;200.0;30.0;2;0;2;65.0;19;1
Palacio;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;200.0;30.0;1;0;1;79.0;25;1
Imperial;Arganzuela;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;20.0;2;15;1;49.0;14;0
Goya;Salamanca;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;30.0;10;0
Sol;Centro;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;0.0;105.0;4;15;2;145.0;17;0
Justicia;Centro;Bed & Breakfast;Private room;2;1.0;1.0;Real Bed;0.0;20.0;1;0;2;60.0;21;0
Cortes;Centro;Apartment;Entire home/apt;16;3.0;8.0;Real Bed;250.0;60.0;7;0;2;475.0;12;1
Gaztambide;Chamberí;Apartment;Shared room;1;1.0;1.0;Real Bed;200.0;30.0;1;0;2;30.0;9;1
Castellana;Salamanca;Condominium;Entire home/apt;9;3.0;4.0;Real Bed;100.0;65.0;4;23;2;250.0;22;1
Rejas;San Blas - Canillejas;Apartment;Shared room;2;1.0;1.0;Real Bed;0.0;0.0;1;10;0;16.0;11;0
Palacio;Centro;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;30.0;1;0;1;90.0;11;0
Guindalera;Salamanca;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;2;19.0;7;0
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;35.0;2;20;1;59.0;16;0
Arcos;San Blas - Canillejas;Apartment;Entire home/apt;5;2.0;3.0;Real Bed;0.0;0.0;1;0;0;140.0;22;0
Imperial;Arganzuela;Apartment;Private room;1;2.0;1.0;Real Bed;0.0;0.0;1;0;1;30.0;13;0
Universidad;Centro;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;0.0;1;0;1;78.0;17;0
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;0.0;1;0;0;50.0;11;0
Almendrales;Usera;Apartment;Entire home/apt;6;2.0;3.0;Real Bed;0.0;30.0;4;10;2;90.0;10;0
Justicia;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;150.0;45.0;3;20;1;62.0;12;1
Argüelles;Moncloa - Aravaca;House;Private room;2;2.0;1.0;Real Bed;300.0;0.0;1;10;2;30.0;9;1
Palacio;Centro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;1;26.0;10;0
Gaztambide;Chamberí;Apartment;Entire home/apt;2;1.0;2.0;Real Bed;0.0;25.0;1;0;1;59.0;11;0
Almagro;Chamberí;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;18.0;1;0;2;60.0;11;0
Puerta Bonita;Carabanchel;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;100.0;15.0;1;0;1;70.0;12;1
Cortes;Centro;Apartment;Entire home/apt;5;2.0;2.0;Real Bed;300.0;60.0;2;15;1;84.0;13;1
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;25.0;1;0;2;45.0;17;0
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;30.0;2;10;1;69.0;22;0
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;150.0;40.0;2;10;0;85.0;20;1
Almagro;Chamberí;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;10;0;35.0;11;0
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;7;0;20.0;6;0
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;77.0;2;17;2;150.0;19;0
Palacio;Centro;Apartment;Entire home/apt;4;2.0;2.0;Real Bed;0.0;40.0;2;20;1;130.0;16;0
Universidad;Centro;Apartment;Entire home/apt;3;1.0;2.0;Real Bed;96.0;30.0;3;15;0;60.0;9;1
Justicia;Centro;Apartment;Private room;2;2.0;1.0;Real Bed;0.0;0.0;1;12;2;36.0;18;0
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;200.0;20.0;2;20;1;110.0;23;1
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;30.0;1;15;2;49.0;14;1
Universidad;Centro;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;20.0;1;0;1;90.0;18;0
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;0.0;1;0;1;136.0;13;0
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;1;39.0;18;0
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;0.0;1;0;2;103.0;12;1
Chopera;Arganzuela;Apartment;Private room;3;2.0;1.0;Real Bed;0.0;0.0;1;10;2;22.0;12;0
Rejas;San Blas - Canillejas;Apartment;Private room;2;1.5;1.0;Real Bed;0.0;0.0;1;0;0;35.0;5;0
San Isidro;Carabanchel;Apartment;Entire home/apt;3;1.0;2.0;Real Bed;0.0;20.0;2;5;2;45.0;4;0
Universidad;Centro;Apartment;Entire home/apt;3;1.0;0.0;Real Bed;100.0;30.0;2;12;2;49.0;13;1
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;200.0;20.0;2;15;0;90.0;15;1
San Diego;Puente de Vallecas;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;50.0;7;0
Sol;Centro;Apartment;Private room;1;2.0;1.0;Real Bed;200.0;30.0;1;0;2;32.0;9;1
Lucero;Latina;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;30.0;1;0;1;69.0;16;0
Palacio;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;150.0;28.0;2;10;2;96.0;10;1
Rios Rosas;Chamberí;House;Entire home/apt;4;2.0;2.0;Real Bed;180.0;30.0;1;0;1;95.0;20;1
Nueva España;Chamartín;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;0.0;1;0;0;80.0;21;0
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;6;3.0;3.0;Real Bed;0.0;60.0;2;20;2;90.0;20;0
Acacias;Arganzuela;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;6;0;32.0;9;0
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;Couch;150.0;30.0;2;15;1;80.0;15;1
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;150.0;30.0;3;0;2;49.0;13;1
Almagro;Chamberí;Apartment;Private room;2;1.0;1.0;Real Bed;100.0;15.0;2;15;1;34.0;21;1
Cortes;Centro;Apartment;Private room;6;1.0;1.0;Real Bed;100.0;15.0;2;10;2;30.0;12;1
Opañel;Carabanchel;Bed & Breakfast;Private room;1;0.0;1.0;Real Bed;0.0;0.0;1;18;0;18.0;9;0
Niño Jesús;Retiro;Condominium;Private room;1;1.0;1.0;Real Bed;0.0;10.0;1;0;1;30.0;17;0
Arapiles;Chamberí;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;10.0;1;0;1;38.0;13;0
Sol;Centro;Apartment;Private room;2;2.0;1.0;Real Bed;0.0;10.0;1;0;2;28.0;13;0
Puerta Bonita;Carabanchel;Apartment;Entire home/apt;8;2.0;4.0;Real Bed;0.0;0.0;1;0;0;120.0;13;0
Pilar;Fuencarral - El Pardo;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;15;0;23.0;9;0
Ciudad Universitaria;Moncloa - Aravaca;Bed & Breakfast;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;39.0;17;0
Arapiles;Chamberí;Apartment;Entire home/apt;2;1.0;0.0;Pull-out Sofa;0.0;10.0;1;0;1;44.0;13;0
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;25.0;1;0;2;50.0;10;0
Delicias;Arganzuela;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;40.0;7;0
Sol;Centro;Apartment;Entire home/apt;6;1.0;3.0;Real Bed;0.0;40.0;4;20;1;130.0;12;0
Puerta Bonita;Carabanchel;Apartment;Private room;1;1.5;1.0;Real Bed;0.0;0.0;1;0;2;25.0;13;0
Aluche;Latina;Apartment;Private room;2;1.0;1.0;Real Bed;100.0;10.0;1;0;0;20.0;17;1
Argüelles;Moncloa - Aravaca;Apartment;Private room;2;2.0;1.0;Real Bed;120.0;10.0;1;0;0;95.0;6;1
Rejas;San Blas - Canillejas;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;65.0;11;0
Pacífico;Retiro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;1;25.0;4;0
Hispanoamérica;Chamartín;Bed & Breakfast;Private room;3;1.0;1.0;Futon;0.0;50.0;1;30;0;65.0;15;0
Justicia;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;300.0;45.0;1;0;2;60.0;12;1
Puerta del Angel;Latina;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;48.0;2;8;1;40.0;12;1
Palacio;Centro;Apartment;Entire home/apt;5;1.0;2.0;Real Bed;200.0;55.0;3;20;2;90.0;17;1
Justicia;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;30.0;2;10;2;99.0;19;0
Recoletos;Salamanca;Apartment;Entire home/apt;4;2.0;2.0;Real Bed;0.0;77.0;1;0;2;211.0;20;0
Justicia;Centro;Apartment;Entire home/apt;5;2.0;2.0;Real Bed;200.0;0.0;2;15;2;125.0;20;1
Embajadores;Centro;Apartment;Private room;2;2.0;1.0;Real Bed;0.0;15.0;1;5;2;25.0;11;0
Cuatro Caminos;Tetuán;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;12.0;1;0;0;25.0;18;0
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;300.0;40.0;2;20;2;110.0;20;1
Puerta del Angel;Latina;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;10.0;2;7;2;20.0;11;0
Peñagrande;Fuencarral - El Pardo;Apartment;Entire home/apt;8;2.0;1.0;Real Bed;500.0;75.0;2;11;2;94.0;16;1
Legazpi;Arganzuela;Apartment;Private room;2;2.0;1.0;Real Bed;0.0;0.0;1;0;1;31.0;15;0
Universidad;Centro;Apartment;Shared room;4;1.0;1.0;Real Bed;100.0;0.0;1;19;2;19.0;11;1
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;150.0;30.0;2;12;2;79.0;13;1
Embajadores;Centro;Loft;Entire home/apt;6;1.5;1.0;Real Bed;150.0;35.0;2;10;1;105.0;14;1
Acacias;Arganzuela;Bed & Breakfast;Shared room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;33.0;12;0
Universidad;Centro;Apartment;Private room;1;1.0;1.0;Pull-out Sofa;0.0;0.0;1;0;0;30.0;9;0
San Diego;Puente de Vallecas;House;Private room;2;1.5;1.0;Real Bed;0.0;12.0;1;16;1;22.0;15;0
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;0.0;10.0;2;15;1;41.0;15;0
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;30.0;2;10;1;62.0;19;0
Cuatro Caminos;Tetuán;Other;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;35.0;15;0
San Diego;Puente de Vallecas;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;500.0;20.0;1;0;2;38.0;19;1
Embajadores;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;150.0;35.0;2;17;2;50.0;18;1
Universidad;Centro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;22.0;15;0
Almagro;Chamberí;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;250.0;11.0;1;10;0;77.0;10;1
Prosperidad;Chamartín;Loft;Entire home/apt;2;1.0;0.0;Pull-out Sofa;0.0;20.0;1;0;1;60.0;20;0
Universidad;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;20.0;1;0;1;35.0;16;0
Acacias;Arganzuela;Apartment;Entire home/apt;2;2.0;1.0;Real Bed;900.0;0.0;1;0;0;68.0;19;1
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;200.0;20.0;2;10;1;65.0;12;1
Casco Histórico de Vicálvaro;Vicálvaro;Apartment;Entire home/apt;4;2.0;3.0;Real Bed;0.0;20.0;1;0;2;79.0;11;0
Universidad;Centro;House;Entire home/apt;4;1.0;1.0;Real Bed;150.0;29.0;2;10;0;69.0;12;1
Sol;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;2;40;0;60.0;9;0
Pacífico;Retiro;House;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;29.0;23;0
Pinar del Rey;Hortaleza;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;8;2;25.0;19;0
Puerta del Angel;Latina;Apartment;Private room;2;1.5;1.0;Real Bed;0.0;0.0;1;6;1;20.0;8;0
Trafalgar;Chamberí;Apartment;Entire home/apt;3;1.0;0.0;Real Bed;0.0;15.0;1;0;1;36.0;12;0
Palacio;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;100.0;18.0;2;25;2;65.0;10;1
Sol;Centro;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;0.0;0.0;4;20;0;100.0;10;0
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;10;2;42.0;6;0
Sol;Centro;Apartment;Entire home/apt;8;1.0;2.0;Real Bed;300.0;50.0;1;28;2;145.0;10;1
Ibiza;Retiro;Apartment;Entire home/apt;3;1.0;2.0;Real Bed;130.0;30.0;2;10;0;65.0;15;1
Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;150.0;15.0;2;20;2;99.0;9;1
Colina;Ciudad Lineal;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;75.0;18;0
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;92.0;30.0;2;11;1;82.0;18;1
Palacio;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;99.0;39.0;1;19;1;69.0;15;1
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;150.0;35.0;2;15;2;60.0;17;1
Palos de Moguer;Arganzuela;Apartment;Private room;4;1.0;1.0;Real Bed;0.0;0.0;1;0;0;35.0;6;0
Delicias;Arganzuela;Apartment;Private room;2;2.0;1.0;Real Bed;0.0;5.0;1;0;0;20.0;10;0
Embajadores;Centro;Apartment;Private room;2;3.0;1.0;Real Bed;0.0;0.0;1;0;2;20.0;5;0
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;0.0;1;10;1;45.0;15;1
Prosperidad;Chamartín;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;200.0;40.0;1;0;2;75.0;17;1
Sol;Centro;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;300.0;52.0;1;11;2;102.0;11;1
Embajadores;Centro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;15;0;30.0;5;0
Pueblo Nuevo;Ciudad Lineal;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;100.0;25.0;2;9;2;39.0;14;1
Casco Histórico de Barajas;Barajas;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;7;0;25.0;11;0
Guindalera;Salamanca;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;100.0;35.0;2;10;1;73.0;18;1
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;200.0;40.0;2;15;2;85.0;11;1
Embajadores;Centro;Loft;Entire home/apt;4;2.0;1.0;Real Bed;250.0;50.0;1;5;2;110.0;26;1
Sol;Centro;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;0.0;40.0;4;15;2;120.0;23;0
Sol;Centro;Apartment;Private room;2;5.0;1.0;Real Bed;200.0;0.0;1;0;2;31.0;18;1
Peñagrande;Fuencarral - El Pardo;Apartment;Entire home/apt;5;1.0;0.0;Real Bed;500.0;65.0;2;9;2;59.0;16;1
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;100.0;20.0;2;0;1;35.0;16;1
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;10;1;35.0;4;0
Goya;Salamanca;Apartment;Private room;2;1.0;1.0;Real Bed;90.0;0.0;1;20;2;39.0;21;1
Embajadores;Centro;Apartment;Private room;2;1.5;1.0;Real Bed;0.0;0.0;1;0;1;33.0;8;0
Justicia;Centro;Apartment;Private room;1;1.0;1.0;Real Bed;100.0;5.0;1;0;2;19.0;13;1
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;1;41.0;17;0
Guindalera;Salamanca;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;13.0;9;0
Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;35.0;1;0;1;80.0;24;0
Vallehermoso;Chamberí;Apartment;Private room;2;1.0;1.0;Real Bed;100.0;0.0;2;0;1;40.0;17;1
Hispanoamérica;Chamartín;Chalet;Private room;3;1.0;1.0;Real Bed;90.0;10.0;1;30;1;48.0;20;1
Ibiza;Retiro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;53.0;5;0
Justicia;Centro;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;200.0;22.0;1;0;2;75.0;14;1
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;25.0;1;0;2;50.0;19;0
Palos de Moguer;Arganzuela;Bed & Breakfast;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;16.0;18;0
Embajadores;Centro;Bed & Breakfast;Private room;1;1.0;1.0;Real Bed;0.0;20.0;1;15;2;25.0;6;0
Embajadores;Centro;Apartment;Entire home/apt;3;1.0;2.0;Real Bed;200.0;20.0;1;0;0;55.0;16;1
Berruguete;Tetuán;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;10;0;17.0;13;0
Jerónimos;Retiro;House;Entire home/apt;4;1.0;2.0;Real Bed;90.0;40.0;2;15;2;80.0;16;1
Cortes;Centro;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;100.0;30.0;2;0;2;45.0;10;1
Hispanoamérica;Chamartín;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;100.0;40.0;1;0;0;30.0;20;1
Goya;Salamanca;Apartment;Shared room;10;6.0;1.0;Real Bed;150.0;0.0;1;0;2;35.0;16;1
Embajadores;Centro;Loft;Entire home/apt;2;1.0;1.0;Real Bed;100.0;30.0;1;0;1;40.0;17;1
Justicia;Centro;Apartment;Private room;3;4.5;1.0;Real Bed;0.0;10.0;2;10;2;30.0;23;0
Peñagrande;Fuencarral - El Pardo;Apartment;Private room;2;1.0;1.0;Real Bed;200.0;20.0;1;10;2;40.0;10;1
Pacífico;Retiro;Apartment;Entire home/apt;6;1.0;3.0;Real Bed;120.0;0.0;4;10;2;70.0;14;1
Palacio;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;100.0;30.0;1;0;2;50.0;13;1
Gaztambide;Chamberí;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;200.0;0.0;2;5;2;58.0;18;1
Sol;Centro;Apartment;Private room;1;2.0;1.0;Real Bed;200.0;30.0;1;0;2;36.0;11;1
Embajadores;Centro;Apartment;Private room;2;1.5;1.0;Real Bed;0.0;0.0;1;0;2;25.0;10;0
Cortes;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;100.0;20.0;2;15;2;55.0;12;1
Imperial;Arganzuela;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;5;0;28.0;13;0
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;200.0;30.0;2;20;2;69.0;10;1
Lista;Salamanca;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;8;1;22.0;10;0
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;10;1;29.0;9;0
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;0.0;20.0;2;8;1;50.0;17;0
Ciudad Universitaria;Moncloa - Aravaca;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;20.0;1;0;2;130.0;15;0
Justicia;Centro;Hostel;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;42.0;14;0
Palacio;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;25.0;1;0;1;65.0;13;0
Embajadores;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;100.0;20.0;1;12;2;40.0;11;1
Puerta del Angel;Latina;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;35.0;13;0
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;25.0;1;0;1;50.0;19;0
Embajadores;Centro;House;Private room;2;2.0;1.0;Real Bed;100.0;15.0;2;0;1;39.0;13;1
Universidad;Centro;Apartment;Private room;4;2.0;1.0;Real Bed;0.0;0.0;2;8;2;30.0;13;0
Simancas;San Blas - Canillejas;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;19.0;14;0
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;4;1.5;2.0;Real Bed;200.0;20.0;2;15;1;95.0;14;1
Universidad;Centro;Apartment;Entire home/apt;5;1.0;1.0;Real Bed;0.0;0.0;4;0;2;90.0;11;0
Sol;Centro;Apartment;Entire home/apt;6;1.0;4.0;Real Bed;100.0;25.0;1;0;0;100.0;10;1
Hispanoamérica;Chamartín;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;15.0;1;0;0;46.0;11;0
Canillas;Hortaleza;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;2;14.0;13;0
Berruguete;Tetuán;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;5.0;1;0;0;40.0;12;1
Justicia;Centro;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;50.0;2;20;2;105.0;16;0
Embajadores;Centro;Apartment;Private room;2;2.0;1.0;Real Bed;0.0;15.0;1;0;2;18.0;10;0
Delicias;Arganzuela;Bed & Breakfast;Private room;2;0.5;1.0;Real Bed;0.0;25.0;1;15;2;23.0;14;0
Palacio;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;10.0;2;20;0;45.0;12;0
Justicia;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;200.0;21.0;1;10;2;48.0;16;1
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;0.0;2;11;0;43.0;9;0
Guindalera;Salamanca;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;18;2;19.0;7;0
Palacio;Centro;Apartment;Private room;2;4.0;1.0;Real Bed;0.0;15.0;1;5;2;25.0;8;0
Vista Alegre;Carabanchel;Apartment;Private room;1;1.0;1.0;Real Bed;100.0;10.0;1;0;1;10.0;19;1
Nueva España;Chamartín;House;Entire home/apt;4;2.5;2.0;Real Bed;0.0;50.0;3;0;1;180.0;25;0
Pacífico;Retiro;Other;Private room;3;1.0;1.0;Real Bed;0.0;10.0;1;8;1;18.0;13;0
Palacio;Centro;House;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;2;25.0;13;0
San Diego;Puente de Vallecas;Condominium;Entire home/apt;3;1.0;2.0;Real Bed;0.0;0.0;2;27;1;54.0;14;0
Pilar;Fuencarral - El Pardo;Other;Entire home/apt;6;2.0;3.0;Real Bed;200.0;0.0;1;0;1;110.0;12;1
Puerta del Angel;Latina;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;10.0;1;8;2;15.0;11;0
Universidad;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;100.0;20.0;1;0;1;85.0;21;1
Palacio;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;10;2;43.0;12;0
Valverde;Fuencarral - El Pardo;Bed & Breakfast;Private room;1;2.0;1.0;Real Bed;0.0;0.0;1;0;0;20.0;18;0
Cortes;Centro;Apartment;Entire home/apt;10;2.0;4.0;Real Bed;150.0;16.0;5;12;1;90.0;16;1
Guindalera;Salamanca;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;20.0;1;0;1;47.0;12;1
Rios Rosas;Chamberí;Apartment;Private room;1;1.5;1.0;Real Bed;0.0;0.0;1;0;0;395.0;0;0
Embajadores;Centro;Apartment;Entire home/apt;5;1.0;2.0;Real Bed;0.0;0.0;3;0;1;63.0;15;0
Ciudad Universitaria;Moncloa - Aravaca;Apartment;Private room;2;2.0;1.0;Real Bed;0.0;10.0;1;10;0;35.0;14;0
Valdezarza;Moncloa - Aravaca;House;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;1;21.0;12;0
Cortes;Centro;Condominium;Entire home/apt;2;1.0;0.0;Real Bed;0.0;15.0;2;0;2;50.0;15;0
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;10.0;1;20;1;25.0;9;0
Numancia;Puente de Vallecas;House;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;1;17.0;13;0
Pinar del Rey;Hortaleza;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;10;2;16.0;15;0
San Isidro;Carabanchel;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;45.0;14;0
Nueva España;Chamartín;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;80.0;22;0
Universidad;Centro;Apartment;Private room;2;2.0;1.0;Real Bed;0.0;0.0;1;5;1;34.0;18;0
Embajadores;Centro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;80.0;1;0;0;20.0;18;0
Berruguete;Tetuán;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;0.0;1;0;0;50.0;9;0
Embajadores;Centro;Apartment;Entire home/apt;5;1.0;2.0;Real Bed;0.0;25.0;1;0;2;80.0;11;0
Palacio;Centro;House;Entire home/apt;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;60.0;11;0
Palacio;Centro;Apartment;Entire home/apt;8;2.0;2.0;Real Bed;200.0;40.0;1;0;1;129.0;14;1
Palacio;Centro;Apartment;Entire home/apt;6;1.0;1.0;Real Bed;0.0;20.0;2;20;2;99.0;8;0
